route_id,stop_id
1838,temp_1090
2093,temp_5976
1853,temp_772
1837,2520
1844,2520
1852,2520
1630,temp_618
1631,temp_618
1632,temp_618
2090,1532
1663,temp_618
1434,temp_618
1304,temp_597
2147,154
1789,778
1829,temp_1070
1345,temp_725
1349,temp_725
1350,temp_725
1364,temp_725
1644,temp_618
1580,temp_725
1583,temp_725
1584,temp_725
1597,temp_725
1379,1197
1389,1197
1413,1197
1427,1197
1651,1197
1652,1197
1661,1197
1664,1197
1850,1197
1851,1197
1446,temp_3150
1447,temp_3150
1884,temp_3150
2139,temp_3150
1351,1648
1489,1648
1795,1648
1812,1648
1813,1648
1839,1648
2066,1648
1431,1197
1432,1197
1437,1197
1674,temp_3150
1675,temp_3150
1895,temp_3150
2133,temp_3150
1344,temp_1510
1513,temp_1510
2078,temp_1841
1625,temp_2039
1393,temp_1124
1399,temp_2039
1345,temp_937
1357,temp_937
1358,temp_937
1364,temp_937
1580,temp_937
1590,temp_937
1597,temp_937
1803,temp_937
1805,temp_937
2036,temp_937
2039,temp_937
2061,temp_937
1467,2118
2088,temp_618
2089,temp_618
2128,temp_618
1372,temp_1848
1405,temp_1848
1707,temp_1848
1835,temp_1848
1842,temp_1848
1847,temp_1848
1951,586
1780,93
1781,93
1809,93
1368,temp_1903
1601,temp_1903
1838,temp_8596
1843,temp_8596
1848,temp_8596
1926,temp_1903
2073,temp_1903
2078,temp_1903
2083,temp_1903
2166,temp_8596
2168,temp_9203
1528,temp_708
1533,temp_683
1535,temp_683
1536,temp_683
1538,temp_683
1539,temp_683
1545,temp_683
1555,temp_683
1558,temp_683
1717,temp_683
1726,temp_683
1727,temp_683
1957,temp_683
1972,temp_683
1983,temp_683
1985,temp_683
1991,temp_683
2158,temp_683
2159,temp_683
2162,temp_683
1752,2118
1488,temp_3538
1636,temp_1926
2166,temp_8918
1973,3811
2085,temp_8918
1537,3128
2082,temp_5976
1842,temp_772
2087,1629
1552,1366
1706,1366
1707,1366
1715,1366
1730,1366
1940,1366
1941,1366
1926,temp_778
2003,3811
1431,temp_300
1432,temp_300
1437,temp_300
1439,temp_300
1698,temp_1759
1285,2116
1311,2116
1469,temp_1759
1377,temp_778
1772,temp_3538
2002,temp_3538
2065,temp_1070
2046,temp_8238
2074,temp_8238
1372,temp_772
1818,temp_772
1835,temp_772
1847,temp_772
1307,temp_683
1318,temp_683
1321,temp_683
1599,temp_683
1629,temp_683
1718,temp_683
1722,temp_683
1724,temp_683
1791,temp_683
1793,temp_683
1980,temp_683
2037,temp_683
2047,temp_683
2098,temp_683
2122,temp_683
1493,temp_683
1320,temp_683
1448,temp_683
1492,temp_683
1494,temp_683
1758,temp_683
1775,temp_683
1792,temp_683
1959,temp_683
2049,temp_683
2052,temp_683
1287,2118
1439,1197
1636,1197
2087,temp_6959
1800,temp_1662
1366,temp_683
1392,temp_683
1404,temp_683
1497,temp_683
1502,temp_683
1504,temp_683
1850,temp_69
1851,temp_69
1830,1598
2028,1598
2046,1598
2047,1598
2048,1598
2074,1598
1997,2117
1621,temp_1510
1805,temp_1510
2086,temp_1510
2064,1752
1650,temp_829
2135,temp_829
1352,temp_1070
1580,temp_683
1713,temp_683
1732,temp_683
2139,temp_683
2014,3030
2043,3030
2173,temp_8939
1730,temp_1860
1942,temp_1860
1943,temp_1860
2121,temp_1860
2123,temp_1860
2148,temp_1860
2166,temp_1860
2182,temp_1860
1345,temp_683
1927,2205
1585,temp_1070
1915,temp_6746
1337,temp_741
1653,temp_741
1723,temp_741
1535,3753
1640,temp_1860
